"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"231",40,1,1,"66762d83cf6bfd8b079ff120",5,5,944.132,429.465,-514.667,"woman","black"
"232",24,3,1,"66b19381b67f368116867005",1,2,998.554,844.821,-153.733,"none","multiracial"
"233",31,1,0,"65ddff50a1e697abbe4a5614",6,6,229.37,88.31,-141.06,"none","black"
"234",41,1,0,"6325482a5da955ebe4a72c93",4,4,203.183,23.579,-179.604,"none","none"
"235",33,2,1,"66a4619edb5ff0af0062c3b4",1,1,53.521,154.128,100.607,"woman","none"
"236",58,1,1,"663abe859bcc3ea8ef9bbdf3",7,7,137.615,68.797,-68.818,"woman","multiracial"
"237",28,1,0,"66a3a133ea6d8c50799a0c45",4,2,236.992,101.131,-135.861,"none","none"
"238",20,2,1,"6662e9e9187b0ca18293def6",2,2,176.702,329.927,153.225,"woman","multiracial"
"239",29,1,0,"65f9c49f83db3098a09303d7",7,7,29.948,171.039,141.091,"none","black"
"240",38,1,0,"5d5b0dd7c032a2001ad7cf5d",6,5,80.926,74.368,-6.558,"woman","black"
"241",30,1,0,"66463e4efb99fba5a67a010a",6,3,794.597,647.25,-147.347,"none","black"
